text,label
"I missed my dialysis and I can't breathe well, off Bissonnet, please hurry.",P1
"my mother and I near the Medical Center, my baby hasn't had clean water in two days and won't wake up properly.",P1
"my neighbor near the Medical Center, no power and running low on food, we need a place to stay tonight.",P2
"We're out of food and the baby needs formula soon, off Bissonnet, everyone is okay otherwise.",P2
"I in Third Ward, the road is flooded and we're out of food, need supplies and shelter.",P2
"my family in Acres Homes, my baby hasn't had clean water in two days and won't wake up properly.",P1
Do I need an ID to stay at the shelter in Alief?,P3
"Elderly neighbor here is barely conscious and we have no water at all, in Sharpstown, it's critical.",P1
"we in Spring Branch, water is receding, we just need supplies and a dry place to stay.",P2
"my disabled brother near the Medical Center, an elderly woman here is unresponsive and we have no medicine.",P1
"a group of us in the East End, we're fine, I just want to register in case we need help later.",P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Acres Homes.",P1
"my family in the Heights, an elderly woman here is unresponsive and we have no medicine.",P1
"Are the shelters in Alief taking elderly residents, asking for my neighbor, no urgency.",P3
"my mother and I near the Medical Center, we have water and food, only need to know where to register.",P3
"my newborn and I downtown, we're fine, I just want to register in case we need help later.",P3
Just wondering if the shelter in Gulfton allows pets.,P3
"my mother and I in the Heights, a child is seizing and we have no way to reach a hospital.",P1
"Safe for now in the East End, but the water is slowly rising and we'll need evacuation later.",P2
"a family of four near Greenspoint, everyone's safe — just need information about evacuation buses.",P3
"my neighbor off Bissonnet, we have water and food, only need to know where to register.",P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Sharpstown.",P1
"a family of four in Alief, the road is flooded and we're out of food, need supplies and shelter.",P2
"three of us in Gulfton, we evacuated and need somewhere to sleep and some meals.",P2
"my neighbor in the East End, someone is having chest pains and we are trapped by floodwater.",P1
"a group of us in Alief, no power and running low on food, we need a place to stay tonight.",P2
"Safe for now off Bissonnet, but the water is slowly rising and we'll need evacuation later.",P2
"an elderly couple in Acres Homes, we have water and food, only need to know where to register.",P3
Is there a number to call for updates about the shelter in Sharpstown?,P3
"I near the Medical Center, elderly parents are fine for now but we need water and blankets.",P2
"Just want to confirm the food distribution in Spring Branch is still happening, we're okay.",P3
"Our house flooded but we're safe upstairs, in Sunnyside, we need to get out when you can.",P2
"We're stranded on the roof, water still rising, and my mother has a heart condition, in the East End.",P1
"We're stranded on the roof, water still rising, and my mother has a heart condition, in Spring Branch.",P1
Can someone tell me which shelters in Gulfton have wheelchair access?,P3
"No injuries, off Bissonnet, but we lost everything and need shelter and food.",P2
"we in Acres Homes, an older couple here needs supplies and a place to stay, they're stable.",P2
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Sunnyside.",P1
"my neighbor in Third Ward, severe bleeding that won't stop and the roads are flooded.",P1
"Hi, in the Heights, can you tell me where the nearest shelter is?",P3
"three of us in Sunnyside, my child stopped breathing for a moment, please send someone now.",P1
"My newborn has a high fever and we've had no water or formula for a day, near Greenspoint.",P1
"My insulin is gone and the floodwater cut us off, in Sharpstown, I'm shaking badly.",P1
"Are the shelters off Bissonnet taking elderly residents, asking for my neighbor, no urgency.",P3
"We're stranded on the roof, water still rising, and my mother has a heart condition, in Third Ward.",P1
"three of us in Alief, an elderly woman here is unresponsive and we have no medicine.",P1
"My newborn has a high fever and we've had no water or formula for a day, in Gulfton.",P1
"Where do I go near the Medical Center to pick up water and diapers, no rush?",P3
"My kids and I are okay but we have no formula or water left, near the Medical Center.",P2
"Just want to confirm the food distribution near the Medical Center is still happening, we're okay.",P3
"Which distribution point in Sunnyside has formula and diapers in stock, for later this week?",P3
"my family near Greenspoint, someone is having chest pains and we are trapped by floodwater.",P1
"an elderly couple off Bissonnet, an older couple here needs supplies and a place to stay, they're stable.",P2
"a family of four in Spring Branch, we evacuated and need somewhere to sleep and some meals.",P2
Is the supply point in Alief still open tomorrow morning?,P3
"We're stable but stranded, in Alief, need transport to a shelter sometime today.",P2
"an elderly couple near the Medical Center, the road is flooded and we're out of food, need supplies and shelter.",P2
"my two kids and I in Third Ward, a child is seizing and we have no way to reach a hospital.",P1
"a group of us in Sunnyside, my baby hasn't had clean water in two days and won't wake up properly.",P1
"we off Bissonnet, a child is seizing and we have no way to reach a hospital.",P1
"my disabled brother in Alief, no emergency, just asking whether the shelter has water available.",P3
"three of us in the East End, the kids are hungry and we're low on water, need a shelter today.",P2
"We're out of food and the baby needs formula soon, in the Heights, everyone is okay otherwise.",P2
"I'm diabetic and out of insulin, in Sharpstown, starting to feel faint.",P1
"My newborn has a high fever and we've had no water or formula for a day, in Spring Branch.",P1
Just wondering if the shelter in Third Ward allows pets.,P3
"a family of four in the Heights, an older couple here needs supplies and a place to stay, they're stable.",P2
"My kids and I are okay but we have no formula or water left, in Sharpstown.",P2
What are the hours for food distribution in the Heights?,P3
"my newborn and I in Spring Branch, everyone's safe — just need information about evacuation buses.",P3
Just wondering if the shelter in Sharpstown allows pets.,P3
"my disabled brother off Bissonnet, no power and running low on food, we need a place to stay tonight.",P2
"Just want to confirm the food distribution in Sunnyside is still happening, we're okay.",P3
"I have supplies, in the East End, but wanted to know if the roads are passable yet.",P3
"No injuries, in Sunnyside, but we lost everything and need shelter and food.",P2
Is there a shelter downtown that allows pets and has wheelchair access?,P3
"my two kids and I near Greenspoint, water is receding, we just need supplies and a dry place to stay.",P2
"Which distribution point near the Medical Center has formula and diapers in stock, for later this week?",P3
Just checking what documents to bring to register in Acres Homes.,P3
"Are the shelters downtown taking elderly residents, asking for my neighbor, no urgency.",P3
"Where do I go near Greenspoint to pick up water and diapers, no rush?",P3
"my family in the Heights, my grandmother is elderly but doing okay, we just need water and a shelter.",P2
"a pregnant woman here off Bissonnet, my child stopped breathing for a moment, please send someone now.",P1
"The water just reached the second floor and my father can't walk, near the Medical Center, we're out of time.",P1
"We need water and a shelter, in Acres Homes, everyone is okay but we can't stay here.",P2
"Hi, in Sunnyside, can you tell me where the nearest shelter is?",P3
"Which distribution point downtown has formula and diapers in stock, for later this week?",P3
"I'm diabetic and out of insulin, in the East End, starting to feel faint.",P1
"a pregnant woman here in Third Ward, the road is flooded and we're out of food, need supplies and shelter.",P2
"We need water and a shelter, in Third Ward, everyone is okay but we can't stay here.",P2
Is there a shelter in Acres Homes that allows pets and has wheelchair access?,P3
"I'm diabetic and out of insulin, in the Heights, starting to feel faint.",P1
"my neighbor in the East End, severe bleeding that won't stop and the roads are flooded.",P1
"We've had no water since this morning, in Sharpstown, no one is hurt but we need to leave soon.",P2
"my mother and I near the Medical Center, my child stopped breathing for a moment, please send someone now.",P1
"No injuries, in Sharpstown, but we lost everything and need shelter and food.",P2
"my grandfather in Alief, a child is seizing and we have no way to reach a hospital.",P1
"My newborn has a high fever and we've had no water or formula for a day, near the Medical Center.",P1
"a group of us near the Medical Center, elderly parents are fine for now but we need water and blankets.",P2
a family of four off Bissonnet — my grandfather is on oxygen and the tank runs out in an hour.,P1
Is the supply point in the East End still open tomorrow morning?,P3
"my newborn and I in Sunnyside, everyone's safe — just need information about evacuation buses.",P3
"No injuries, in the Heights, but we lost everything and need shelter and food.",P2
"Where do I go in Acres Homes to pick up water and diapers, no rush?",P3
"Where do I go in Sunnyside to pick up water and diapers, no rush?",P3
"We have no insulin and no water and my daughter is going limp, in the East End.",P1
"three of us in Gulfton, my grandmother is elderly but doing okay, we just need water and a shelter.",P2
"The water just reached the second floor and my father can't walk, in Third Ward, we're out of time.",P1
"my neighbor in Gulfton, the kids are hungry and we're low on water, need a shelter today.",P2
"We're out of food and the baby needs formula soon, near the Medical Center, everyone is okay otherwise.",P2
"my two kids and I in Acres Homes, my grandmother is elderly but doing okay, we just need water and a shelter.",P2
"my newborn and I in Sharpstown, my child stopped breathing for a moment, please send someone now.",P1
"my two kids and I near Greenspoint, no emergency, just asking whether the shelter has water available.",P3
Is there a number to call for updates about the shelter off Bissonnet?,P3
"Where do I go in the East End to pick up water and diapers, no rush?",P3
"my two kids and I in Spring Branch, an older couple here needs supplies and a place to stay, they're stable.",P2
Just checking what documents to bring to register near the Medical Center.,P3
"my newborn and I near the Medical Center, a child is seizing and we have no way to reach a hospital.",P1
"my mother and I near the Medical Center, everyone's safe — just need information about evacuation buses.",P3
"my two kids and I near the Medical Center, severe bleeding that won't stop and the roads are flooded.",P1
"my mother and I off Bissonnet, water is receding, we just need supplies and a dry place to stay.",P2
Do I need an ID to stay at the shelter near Greenspoint?,P3
"I missed my dialysis and I can't breathe well, near the Medical Center, please hurry.",P1
"We're stranded on the roof, water still rising, and my mother has a heart condition, in the Heights.",P1
"three of us near the Medical Center, water is receding, we just need supplies and a dry place to stay.",P2
Do I need an ID to stay at the shelter in Sunnyside?,P3
"a group of us near the Medical Center, my baby hasn't had clean water in two days and won't wake up properly.",P1
"Elderly neighbor here is barely conscious and we have no water at all, in Alief, it's critical.",P1
"my family in Spring Branch, the kids are hungry and we're low on water, need a shelter today.",P2
"Out of oxygen for my father and the water keeps coming up, in the Heights.",P1
"We're stable but stranded, near Greenspoint, need transport to a shelter sometime today.",P2
Do I need an ID to stay at the shelter in Gulfton?,P3
"Elderly neighbor here is barely conscious and we have no water at all, in the Heights, it's critical.",P1
"my newborn and I downtown, no emergency, just asking whether the shelter has water available.",P3
"my grandfather in Third Ward, we evacuated and need somewhere to sleep and some meals.",P2
"We have a generator but no clean water, in Sharpstown, and need a shelter for the night.",P2
"I have supplies, in Acres Homes, but wanted to know if the roads are passable yet.",P3
"Which distribution point near Greenspoint has formula and diapers in stock, for later this week?",P3
"My newborn has a high fever and we've had no water or formula for a day, in Sunnyside.",P1
"The water just reached the second floor and my father can't walk, in Gulfton, we're out of time.",P1
"my two kids and I near the Medical Center, no emergency, just asking whether the shelter has water available.",P3
"my mother and I in Third Ward, my baby hasn't had clean water in two days and won't wake up properly.",P1
"my neighbor off Bissonnet, my child stopped breathing for a moment, please send someone now.",P1
"a group of us in Third Ward, elderly parents are fine for now but we need water and blankets.",P2
"a family of four in the Heights, we evacuated and need somewhere to sleep and some meals.",P2
"We're out of food and the baby needs formula soon, in Third Ward, everyone is okay otherwise.",P2
"Elderly neighbor here is barely conscious and we have no water at all, in the East End, it's critical.",P1
"We need water and a shelter, in Gulfton, everyone is okay but we can't stay here.",P2
"Elderly neighbor here is barely conscious and we have no water at all, in Spring Branch, it's critical.",P1
"My newborn has a high fever and we've had no water or formula for a day, in Acres Homes.",P1
Do I need an ID to stay at the shelter downtown?,P3
"I downtown, severe bleeding that won't stop and the roads are flooded.",P1
"my newborn and I in Spring Branch, we've had no drinking water since this morning and need shelter.",P2
"an elderly couple off Bissonnet, the kids are hungry and we're low on water, need a shelter today.",P2
Is there a shelter in Gulfton that allows pets and has wheelchair access?,P3
"my newborn and I in Spring Branch, elderly parents are fine for now but we need water and blankets.",P2
"three of us off Bissonnet, we have water and food, only need to know where to register.",P3
"my two kids and I in Third Ward, an older couple here needs supplies and a place to stay, they're stable.",P2
"my grandfather in Acres Homes, my child stopped breathing for a moment, please send someone now.",P1
Can someone tell me which shelters in the Heights have wheelchair access?,P3
"We're stable but stranded, in Spring Branch, need transport to a shelter sometime today.",P2
"three of us in the Heights, my baby hasn't had clean water in two days and won't wake up properly.",P1
"We have no insulin and no water and my daughter is going limp, in Alief.",P1
"three of us in Sharpstown, the kids are hungry and we're low on water, need a shelter today.",P2
"Just want to confirm the food distribution in Third Ward is still happening, we're okay.",P3
"a pregnant woman here off Bissonnet, we evacuated and need somewhere to sleep and some meals.",P2
"my mother and I in Gulfton, an elderly woman here is unresponsive and we have no medicine.",P1
"a pregnant woman here near Greenspoint, elderly parents are fine for now but we need water and blankets.",P2
"Where do I go in Gulfton to pick up water and diapers, no rush?",P3
"a family of four in Sunnyside, we evacuated and need somewhere to sleep and some meals.",P2
"an elderly couple in the Heights, elderly parents are fine for now but we need water and blankets.",P2
we in Gulfton — my grandfather is on oxygen and the tank runs out in an hour.,P1
"we in the East End, my child stopped breathing for a moment, please send someone now.",P1
Do I need an ID to stay at the shelter in the Heights?,P3
"Where do I go in Sharpstown to pick up water and diapers, no rush?",P3
"my newborn and I in Alief, water is receding, we just need supplies and a dry place to stay.",P2
"my mother and I in the East End, someone is having chest pains and we are trapped by floodwater.",P1
"We're out of food and the baby needs formula soon, in Sunnyside, everyone is okay otherwise.",P2
"three of us in the Heights, my mother collapsed and isn't responding, we need help immediately.",P1
"a pregnant woman here near the Medical Center, my child stopped breathing for a moment, please send someone now.",P1
"I'm diabetic and out of insulin, downtown, starting to feel faint.",P1
Is there a shelter in Sunnyside that allows pets and has wheelchair access?,P3
"We need water and a shelter, in Alief, everyone is okay but we can't stay here.",P2
"I have supplies, downtown, but wanted to know if the roads are passable yet.",P3
"I in Third Ward, a child is seizing and we have no way to reach a hospital.",P1
"my family off Bissonnet, my child stopped breathing for a moment, please send someone now.",P1
What are the hours for food distribution in the East End?,P3
What are the hours for food distribution near Greenspoint?,P3
"Out of oxygen for my father and the water keeps coming up, in Third Ward.",P1
"We need water and a shelter, off Bissonnet, everyone is okay but we can't stay here.",P2
"No injuries, in the East End, but we lost everything and need shelter and food.",P2
"We've had no water since this morning, downtown, no one is hurt but we need to leave soon.",P2
"The water just reached the second floor and my father can't walk, in Sharpstown, we're out of time.",P1
"my two kids and I in Acres Homes, no power and running low on food, we need a place to stay tonight.",P2
"my family in Gulfton, elderly parents are fine for now but we need water and blankets.",P2
my neighbor in Sharpstown — my grandfather is on oxygen and the tank runs out in an hour.,P1
"We're stable but stranded, in the Heights, need transport to a shelter sometime today.",P2
"Where do I go in Third Ward to pick up water and diapers, no rush?",P3
"We have no insulin and no water and my daughter is going limp, off Bissonnet.",P1
Just wondering if the shelter in Alief allows pets.,P3
"We have no insulin and no water and my daughter is going limp, in the Heights.",P1
"Hi, downtown, can you tell me where the nearest shelter is?",P3
Is there a number to call for updates about the shelter near Greenspoint?,P3
"an elderly couple in Spring Branch, an elderly woman here is unresponsive and we have no medicine.",P1
"The water is rising in the house and my brother is in a wheelchair, we can't get out, off Bissonnet.",P1
"We're stable but stranded, downtown, need transport to a shelter sometime today.",P2
"Hi, in Spring Branch, can you tell me where the nearest shelter is?",P3
"We have no insulin and no water and my daughter is going limp, downtown.",P1
"My kids and I are okay but we have no formula or water left, in Sunnyside.",P2
"We're stranded on the roof, water still rising, and my mother has a heart condition, near Greenspoint.",P1
"The water just reached the second floor and my father can't walk, in Acres Homes, we're out of time.",P1
"my disabled brother in Gulfton, we evacuated and need somewhere to sleep and some meals.",P2
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Spring Branch.",P1
Can someone tell me which shelters in Acres Homes have wheelchair access?,P3
"I have supplies, near the Medical Center, but wanted to know if the roads are passable yet.",P3
"three of us in Sunnyside, no power and running low on food, we need a place to stay tonight.",P2
"We have no insulin and no water and my daughter is going limp, in Gulfton.",P1
"a group of us in Spring Branch, a child is seizing and we have no way to reach a hospital.",P1
"my mother and I in the Heights, water is receding, we just need supplies and a dry place to stay.",P2
"Where do I go in the Heights to pick up water and diapers, no rush?",P3
"I near Greenspoint, no power and running low on food, we need a place to stay tonight.",P2
"we in Sunnyside, someone is having chest pains and we are trapped by floodwater.",P1
"a family of four off Bissonnet, a child is seizing and we have no way to reach a hospital.",P1
"My kids and I are okay but we have no formula or water left, in Third Ward.",P2
"We're stranded on the roof, water still rising, and my mother has a heart condition, downtown.",P1
"The water just reached the second floor and my father can't walk, near Greenspoint, we're out of time.",P1
"my newborn and I in Alief, we're fine, I just want to register in case we need help later.",P3
"my family in Gulfton, the kids are hungry and we're low on water, need a shelter today.",P2
"We need water and a shelter, in Sharpstown, everyone is okay but we can't stay here.",P2
"an elderly couple in Acres Homes, we evacuated and need somewhere to sleep and some meals.",P2
"three of us in Acres Homes, no power and running low on food, we need a place to stay tonight.",P2
"a family of four in Sharpstown, an older couple here needs supplies and a place to stay, they're stable.",P2
"We're out of food and the baby needs formula soon, in Gulfton, everyone is okay otherwise.",P2
Can someone tell me which shelters near the Medical Center have wheelchair access?,P3
"We've had no water since this morning, in Third Ward, no one is hurt but we need to leave soon.",P2
"We have no insulin and no water and my daughter is going limp, in Third Ward.",P1
"a group of us near the Medical Center, we're fine, I just want to register in case we need help later.",P3
"Our house flooded but we're safe upstairs, near the Medical Center, we need to get out when you can.",P2
"I in the Heights, an older couple here needs supplies and a place to stay, they're stable.",P2
"We've had no water since this morning, in Gulfton, no one is hurt but we need to leave soon.",P2
"an elderly couple in the East End, no emergency, just asking whether the shelter has water available.",P3
Just checking what documents to bring to register downtown.,P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in Gulfton.",P1
"a group of us in Acres Homes, no emergency, just asking whether the shelter has water available.",P3
"a pregnant woman here in Gulfton, the kids are hungry and we're low on water, need a shelter today.",P2
Do I need an ID to stay at the shelter in the East End?,P3
"We're stable but stranded, near the Medical Center, need transport to a shelter sometime today.",P2
"my two kids and I in the Heights, an older couple here needs supplies and a place to stay, they're stable.",P2
"Just want to confirm the food distribution in Acres Homes is still happening, we're okay.",P3
"my grandfather in the Heights, my mother collapsed and isn't responding, we need help immediately.",P1
"a pregnant woman here in Third Ward, everyone's safe — just need information about evacuation buses.",P3
"I'm diabetic and out of insulin, near Greenspoint, starting to feel faint.",P1
"I missed my dialysis and I can't breathe well, in Alief, please hurry.",P1
"my newborn and I off Bissonnet, someone is having chest pains and we are trapped by floodwater.",P1
"We're stable but stranded, off Bissonnet, need transport to a shelter sometime today.",P2
"we in Sharpstown, my mother collapsed and isn't responding, we need help immediately.",P1
"Which distribution point in Sharpstown has formula and diapers in stock, for later this week?",P3
What are the hours for food distribution in Alief?,P3
"an elderly couple in the East End, everyone's safe — just need information about evacuation buses.",P3
Is there a number to call for updates about the shelter in Spring Branch?,P3
"My kids and I are okay but we have no formula or water left, downtown.",P2
"Elderly neighbor here is barely conscious and we have no water at all, in Acres Homes, it's critical.",P1
my disabled brother in Gulfton — my grandfather is on oxygen and the tank runs out in an hour.,P1
"We've had no water since this morning, in Acres Homes, no one is hurt but we need to leave soon.",P2
"my grandfather off Bissonnet, we've had no drinking water since this morning and need shelter.",P2
"my two kids and I in Third Ward, no emergency, just asking whether the shelter has water available.",P3
"We're stable but stranded, in the East End, need transport to a shelter sometime today.",P2
"I have supplies, in Third Ward, but wanted to know if the roads are passable yet.",P3
Just wondering if the shelter near Greenspoint allows pets.,P3
Is there a shelter near Greenspoint that allows pets and has wheelchair access?,P3
"Are the shelters in Sunnyside taking elderly residents, asking for my neighbor, no urgency.",P3
"The water is rising in the house and my brother is in a wheelchair, we can't get out, in the Heights.",P1
"We've had no water since this morning, in the Heights, no one is hurt but we need to leave soon.",P2
"Just want to confirm the food distribution in Gulfton is still happening, we're okay.",P3
"Hi, off Bissonnet, can you tell me where the nearest shelter is?",P3
Can someone tell me which shelters downtown have wheelchair access?,P3
"The water just reached the second floor and my father can't walk, off Bissonnet, we're out of time.",P1
"a pregnant woman here in Spring Branch, we're fine, I just want to register in case we need help later.",P3
"Our house flooded but we're safe upstairs, in the East End, we need to get out when you can.",P2
my newborn and I in Spring Branch — my grandfather is on oxygen and the tank runs out in an hour.,P1
"No injuries, in Spring Branch, but we lost everything and need shelter and food.",P2
"a family of four downtown, my mother collapsed and isn't responding, we need help immediately.",P1
"I missed my dialysis and I can't breathe well, in Sunnyside, please hurry.",P1
"I in Third Ward, elderly parents are fine for now but we need water and blankets.",P2
"No injuries, in Alief, but we lost everything and need shelter and food.",P2
"I have supplies, off Bissonnet, but wanted to know if the roads are passable yet.",P3
"My insulin is gone and the floodwater cut us off, in the East End, I'm shaking badly.",P1
"My insulin is gone and the floodwater cut us off, in Alief, I'm shaking badly.",P1
Is there a shelter in the Heights that allows pets and has wheelchair access?,P3
"Are the shelters in Gulfton taking elderly residents, asking for my neighbor, no urgency.",P3
Is there a shelter off Bissonnet that allows pets and has wheelchair access?,P3
"an elderly couple in Third Ward, no emergency, just asking whether the shelter has water available.",P3
"my mother and I in Alief, the road is flooded and we're out of food, need supplies and shelter.",P2
"Are the shelters in Third Ward taking elderly residents, asking for my neighbor, no urgency.",P3
"a family of four downtown, water is receding, we just need supplies and a dry place to stay.",P2
"a family of four in Gulfton, no emergency, just asking whether the shelter has water available.",P3
"my neighbor near the Medical Center, someone is having chest pains and we are trapped by floodwater.",P1
"my grandfather in Spring Branch, no emergency, just asking whether the shelter has water available.",P3
"We're stable but stranded, in Third Ward, need transport to a shelter sometime today.",P2
"my newborn and I in the East End, we're fine, I just want to register in case we need help later.",P3
